Sujeto;Canal;Coeficiente;Mediana;RMS;Curtosis;Norma;Entropia;Condicion
Subject00;EEG Fp1;cA8;0.000016;0.000139;39.467142;0.000984;2.268178;0
Subject00;EEG Fp1;cD8;0.000026;0.000128;4.664024;0.000909;2.929668;0
Subject00;EEG Fp1;cD7;0.000197;0.000790;1.355186;0.005588;3.252369;0
Subject00;EEG Fp1;cD6;0.001139;0.004227;-0.435112;0.029889;3.324299;0
Subject00;EEG Fp1;cD5;0.000466;0.002647;12.305758;0.018714;2.781063;0
Subject00;EEG Fp1;cD4;0.007168;0.038534;20.225866;0.272479;2.937378;0
Subject00;EEG Fp1;cD3;0.228352;1.673995;38.912846;11.836936;2.736804;0
Subject00;EEG Fp1;cD2;58.345347;254.648459;37.749707;1800.636523;2.900174;0
Subject00;EEG Fp1;cD1;11003.627621;130019.862265;44.318514;919379.262962;1.811077;0
Subject00;EEG Fp2;cA8;0.000009;0.000075;40.022483;0.000530;2.373429;0
Subject00;EEG Fp2;cD8;0.000017;0.000075;4.215943;0.000531;3.054650;0
Subject00;EEG Fp2;cD7;0.000102;0.000448;1.499924;0.003167;3.029765;0
Subject00;EEG Fp2;cD6;0.001589;0.002924;-0.185770;0.020674;3.343120;0
Subject00;EEG Fp2;cD5;0.000371;0.002199;16.553001;0.015550;2.728985;0
Subject00;EEG Fp2;cD4;0.005233;0.027402;12.088013;0.193759;2.893151;0
Subject00;EEG Fp2;cD3;0.123122;0.984819;39.562413;6.963722;2.556016;0
Subject00;EEG Fp2;cD2;17.664521;123.979266;39.911372;876.665799;2.841030;0
Subject00;EEG Fp2;cD1;4915.526784;58760.594526;44.351291;415500.148555;1.786461;0
Subject00;EEG F3;cA8;0.000013;0.000117;39.465116;0.000830;2.250243;0
Subject00;EEG F3;cD8;0.000000;0.000065;15.155064;0.000461;2.206907;0
Subject00;EEG F3;cD7;0.000267;0.000494;1.329875;0.003494;3.376085;0
Subject00;EEG F3;cD6;0.001335;0.002394;1.491288;0.016927;3.425508;0
Subject00;EEG F3;cD5;0.000287;0.001672;14.168710;0.011825;2.751197;0
Subject00;EEG F3;cD4;0.004628;0.023040;10.269192;0.162919;3.015952;0
Subject00;EEG F3;cD3;0.121934;0.944340;38.975365;6.677489;2.590711;0
Subject00;EEG F3;cD2;21.429314;148.311910;35.120775;1048.723574;2.717288;0
Subject00;EEG F3;cD1;8501.705735;100600.723837;44.035264;711354.540171;1.756808;0
Subject00;EEG F4;cA8;0.000000;0.000121;38.782085;0.000853;2.165486;0
Subject00;EEG F4;cD8;0.000011;0.000063;6.201063;0.000443;2.741823;0
Subject00;EEG F4;cD7;0.000259;0.000457;0.039721;0.003233;3.449029;0
Subject00;EEG F4;cD6;0.000551;0.001978;-0.344453;0.013988;3.398740;0
Subject00;EEG F4;cD5;0.000130;0.001516;13.344934;0.010718;2.669603;0
Subject00;EEG F4;cD4;0.004357;0.021012;7.105810;0.148576;3.024897;0
Subject00;EEG F4;cD3;0.161924;1.096550;35.364081;7.753781;2.808994;0
Subject00;EEG F4;cD2;29.005684;182.850872;32.915037;1292.950918;2.870053;0
Subject00;EEG F4;cD1;8718.157139;103117.778872;44.120005;729152.807016;1.767555;0
Subject00;EEG F7;cA8;0.000004;0.000036;41.231704;0.000251;2.307099;0
Subject00;EEG F7;cD8;0.000005;0.000025;6.093894;0.000176;2.758252;0
Subject00;EEG F7;cD7;0.000142;0.000271;-0.238938;0.001917;3.283549;0
Subject00;EEG F7;cD6;0.001217;0.001979;-0.831213;0.013993;3.574188;0
Subject00;EEG F7;cD5;0.000468;0.002650;12.362648;0.018737;2.779052;0
Subject00;EEG F7;cD4;0.006726;0.030272;6.198249;0.214058;3.119609;0
Subject00;EEG F7;cD3;0.100309;0.829480;39.772469;5.865309;2.499753;0
Subject00;EEG F7;cD2;17.308701;120.987698;36.931943;855.512217;2.719896;0
Subject00;EEG F7;cD1;5131.410372;61367.034156;44.268091;433930.459932;1.755644;0
Subject00;EEG F8;cA8;0.000006;0.000054;41.078495;0.000383;2.207150;0
Subject00;EEG F8;cD8;0.000004;0.000039;5.069660;0.000277;2.723785;0
Subject00;EEG F8;cD7;0.000251;0.000437;1.262025;0.003091;3.506190;0
Subject00;EEG F8;cD6;0.001519;0.002646;-0.666754;0.018708;3.451121;0
Subject00;EEG F8;cD5;0.000000;0.002126;15.650101;0.015033;2.684822;0
Subject00;EEG F8;cD4;0.005297;0.022386;2.094340;0.158291;3.123612;0
Subject00;EEG F8;cD3;0.083014;0.696028;40.326139;4.921660;2.487838;0
Subject00;EEG F8;cD2;15.115892;107.333480;37.695914;758.962314;2.740480;0
Subject00;EEG F8;cD1;5312.832724;62785.905363;44.290032;443963.394450;1.815134;0
Subject00;EEG T3;cA8;0.000008;0.000067;40.974711;0.000476;2.486084;0
Subject00;EEG T3;cD8;0.000000;0.000046;6.577456;0.000327;2.686692;0
Subject00;EEG T3;cD7;0.000278;0.000495;1.173379;0.003502;3.462327;0
Subject00;EEG T3;cD6;0.001056;0.001986;0.493312;0.014043;3.339072;0
Subject00;EEG T3;cD5;0.000668;0.002230;25.953319;0.015769;3.143923;0
Subject00;EEG T3;cD4;0.004984;0.022699;15.442871;0.160506;3.211100;0
Subject00;EEG T3;cD3;0.113969;0.844755;36.886785;5.973319;2.620262;0
Subject00;EEG T3;cD2;17.648367;117.198977;39.003723;828.721916;2.948124;0
Subject00;EEG T3;cD1;4100.680749;49599.594103;44.329095;350722.093345;1.734991;0
